,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-07-01,,,0.0,0.0,4865.3272410254685,4783.28734458602,0.026288132329938783
1,1,78,2020-07-23,2020-08-08,2020-08-10,16.0,28.479557,712.0653190049633,2602.557846655781,4657.4152712234645,,
2,2,156,2020-08-12,2020-08-27,2020-08-28,35.0,28.524409999999996,1396.588785769544,5108.332425880217,4547.527515559857,4411.955237190757,0.027278909809699305
3,3,234,2020-09-02,2020-09-17,2020-09-23,56.0,28.405146000000002,2064.9809901364447,7557.496697781154,4432.284889910154,,
4,4,312,2020-09-28,2020-10-13,2020-10-13,82.0,28.363764,2721.731712154151,9965.421820606947,4354.489186028719,4248.634382929275,0.028414423091222853
5,5,390,2020-10-19,2020-11-03,2020-11-04,103.0,28.107371999999998,3370.4376045046865,12344.50724318162,4313.4243827536575,,
6,6,468,2020-11-09,2020-11-24,2020-11-24,124.0,27.900734000000003,4012.5402949726627,14700.119957424286,4273.887798554667,4166.565154955517,0.028793122341344714
7,7,546,2020-12-01,2020-12-16,2020-12-16,146.0,28.109528000000005,4649.521616524145,17037.3083734111,4241.228601805183,,
8,8,624,2020-12-18,2021-01-02,2021-01-05,163.0,28.07245,5280.139638261613,19351.473391049694,4211.5111393680745,4108.343608050125,0.029466302161946126
9,9,702,2021-01-11,2021-01-26,2021-01-27,187.0,28.104103000000002,5906.606760466896,21650.010116847247,4176.21664138456,,
10,10,780,2021-02-01,2021-02-18,2021-02-22,210.0,26.871239000000003,6531.706635473091,23942.678996838684,4142.743788089879,4037.5020478815413,0.029450462043941163
11,11,858,2021-03-01,2021-03-16,2021-03-17,236.0,27.808601,7146.057793402698,26196.310890933284,4107.051070948089,,
12,12,936,2021-03-22,2021-04-18,2021-04-19,269.0,27.751007,7761.927903567182,28455.706165085958,4070.7728694964476,3953.172574939509,0.029892829209260077
13,13,1014,2021-04-23,2021-05-08,2021-05-10,289.0,27.3385,8362.69224850228,30659.143868056155,4037.924115269039,,
14,14,1092,2021-05-12,2021-05-27,2021-05-28,308.0,27.119799,8955.404000012724,32832.42948870874,4000.660029970174,3870.9237250633428,0.030772446626586375
15,15,1170,2021-06-04,2021-06-27,2021-06-28,339.0,27.360359999999996,9539.10758955481,34971.631658239115,3970.3625502202663,,
