,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-07-01,,,0.0,0.0,4867.915337435614,4783.9664222006595,0.02591113022082905
1,1,257,2020-07-23,2020-08-06,2020-08-07,14.0,17.402752,754.9395315332288,2545.94835549357,4794.408397003488,,
2,2,514,2020-08-10,2020-08-24,2020-08-26,32.0,17.318839999999998,1530.8558778773422,5167.771768213943,4752.942247872891,4670.915376229936,0.026123203008060033
3,3,771,2020-09-02,2020-09-16,2020-09-18,55.0,17.249748,2307.6141127391547,7794.079005856547,4657.134238563696,,
4,4,1028,2020-09-23,2020-10-08,2020-10-08,77.0,17.296673000000002,3084.0217377623003,10428.985525365271,4508.540710094656,4431.332162694754,0.02750003602821436
5,5,1285,2020-10-13,2020-10-28,2020-10-29,97.0,17.345337,3860.1209225429047,13079.662190921379,4389.173707537932,,
6,6,1542,2020-11-04,2020-11-18,2020-11-19,118.0,17.260195,4636.055960176908,15740.263846338532,4294.927836162456,4220.98967724596,0.028856640216562354
7,7,1799,2020-11-24,2020-12-09,2020-12-09,139.0,17.541313,5411.761214285212,18411.297782070233,4211.8942740636185,,
8,8,2056,2020-12-16,2020-12-31,2021-01-05,161.0,17.57196,6187.30598224569,21094.1968500826,4161.854263183007,4038.3534276906953,0.02986720888673284
9,9,2313,2021-01-11,2021-01-25,2021-01-26,186.0,17.79658,6962.3653458912295,23792.65153836438,4059.467465954306,,
10,10,2570,2021-02-01,2021-02-17,2021-02-22,209.0,18.08369,7737.817117519867,26524.540703281302,3983.0497050017157,3782.086602409259,0.03109998748320692
11,11,2827,2021-03-01,2021-03-12,2021-03-14,232.0,17.621763,8354.925597289775,28748.61751034633,3718.739047024665,,
12,12,3084,2021-03-17,2021-03-21,2021-03-25,241.0,17.8608,8544.753985574847,29443.56909896303,3529.24150036526,2566.413780468623,0.038033166329303696
13,13,3341,2021-04-16,2021-04-19,2021-04-19,270.0,17.97126,8664.987605591643,29887.472883493836,3132.0188736478917,,
14,14,3598,2021-04-23,2021-04-25,2021-04-26,276.0,18.108747,8743.966256465725,30178.51136143604,2851.03613724786,1475.727777344969,0.04556599809176241
