,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-06-26,,,0.0,0.0,4861.264789612893,4781.827013713388,0.02658282935906482
1,1,257,2020-07-23,2020-08-06,2020-08-07,14.0,29.006441,752.855311711586,2513.469335415677,4634.444277994321,,
2,2,514,2020-08-10,2020-08-24,2020-08-26,32.0,29.429771000000002,1526.0796545513017,5145.475741162606,4321.601072816137,4164.460523138964,0.02976911871162859
3,3,771,2020-09-02,2020-09-16,2020-09-18,55.0,29.954313,2299.861855391894,7805.631256398552,4147.905603503767,,
4,4,1028,2020-09-23,2020-10-07,2020-10-08,76.0,29.452171000000003,3073.6402635175236,10475.981598359585,4053.53876258567,3829.580305587168,0.03118450821726762
5,5,1285,2020-10-13,2020-10-28,2020-10-29,97.0,29.945076,3847.340550172875,13150.30035045429,4006.576894180334,,
6,6,1542,2020-11-04,2020-11-18,2020-11-19,118.0,31.347387,4621.150832680854,15828.945825805089,3940.4727222236593,3625.6684696554826,0.0323837240367277
7,7,1799,2020-11-24,2020-12-08,2020-12-09,138.0,30.567346999999998,5394.69055439398,18512.70910328197,3876.330864482765,,
8,8,2056,2020-12-16,2020-12-31,2021-01-05,161.0,30.920988,6168.294904744683,21204.844382888237,3847.6630077022523,3466.8113092134636,0.03206339439194423
9,9,2313,2021-01-11,2021-01-25,2021-01-26,186.0,30.701788,6941.436936072933,23902.529047020154,3719.0841123557616,,
10,10,2570,2021-02-01,2021-02-17,2021-02-22,209.0,31.390046999999996,7713.896168511782,26615.815188088207,3647.250344223391,3104.779541670327,0.034728560534286294
11,11,2827,2021-03-01,2021-03-09,2021-03-16,229.0,31.500303000000002,8162.281629189184,28235.083830779193,3390.08034928237,,
12,12,3084,2021-03-19,2021-03-23,2021-03-25,243.0,32.464222,8351.375724827425,28925.97634359922,2846.7371864129323,1522.209382032197,0.046617982928356866
13,13,3341,2021-04-16,2021-04-19,2021-04-19,270.0,31.487494,8460.423270120713,29329.94983663039,2672.911083843661,,
14,14,3598,2021-04-23,2021-04-25,2021-04-26,276.0,31.090321999999997,8530.555638493806,29588.938123660937,2184.908102731843,687.7899907640234,0.056329815368267366
