,Ageing Sets,Ageing Cycles,Age set start date,Age set end date,RPT start date,Days of degradation,Age set average temperature (degC),Charge Throughput (A.h),Energy Throughput (W.h),C/10 Capacity (mA.h),C/2 Capacity (mA.h),0.1s Resistance (Ohms)
0,0,0,,,2020-10-27,,,0.0,0.0,4856.79316952489,4771.651468581142,0.02631377720301421
1,1,257,2020-11-09,2020-11-24,2020-11-24,15.0,41.605984,775.148408758621,2587.134068249983,4611.243285488716,,
2,2,514,2020-11-27,2020-12-11,2020-12-16,32.0,41.996371999999994,1549.1949592482533,5225.048739256528,4210.163653589991,4087.166736414396,0.028940792125348412
3,3,771,2020-12-22,2021-01-05,2021-01-06,57.0,42.022797,2323.188494400129,7889.814782497583,4075.3720487568908,,
4,4,1028,2021-01-09,2021-01-23,2021-01-25,75.0,42.10229,3097.311476968027,10559.450423531194,4016.940390607209,3861.575544941009,0.030276026352807572
5,5,1285,2021-02-01,2021-02-17,2021-02-22,100.0,42.12809,3869.639695869577,13223.813327433441,3964.216475831459,,
6,6,1542,2021-02-25,2021-03-11,2021-03-14,122.0,41.840137,4643.422562961762,15894.771770968047,3918.879495398503,3707.21409062839,0.03094096927091185
7,7,1799,2021-03-19,2021-04-03,2021-04-08,145.0,42.31354,5417.083102100416,18566.850947881212,3866.893851349858,,
8,8,2056,2021-04-12,2021-04-27,2021-04-28,169.0,41.94107,6197.052971930334,21262.38163205419,3825.954896413799,3534.7296222896307,0.03207332894236246
9,9,2313,2021-05-04,2021-05-18,2021-05-22,190.0,41.0818,6970.744644239718,23936.772989755944,3783.820593235481,,
10,10,2570,2021-05-25,2021-06-16,2021-06-16,219.0,41.620715999999994,7746.280468563582,26619.047247600833,3748.4282501507237,3394.39796722806,0.03301332906550835
